"Input Name","Matched Name","VM Number","Similarity Score"
"cephaguard dc 20s","versiguard rabies","42058/4194",0.470588235294118,
"cobactan mc 30s","nobivac bb for cats","eu/2/02/034/001",0.368421052631579,
"calciject 40cm no5","calciject 40 cm solution for injection","02000/4125",0.447368421052632,
"adrenacaine 100ml","antirobe capsules 150 mg","42058/4002",0.375,
"calciject 20cm no3","calciject 20 cm solution for injection","02000/4120",0.447368421052632,
"cobactan 2.5% 100ml","occrycetin bolus 500 mg tablet","42058/4087",0.333333333333333,
"allevinix inj 100mls","harkers carnidazole 10 mg tablets","11245/4002",0.303030303030303,
"bandage - vetwrap 5cm","lanodip gold teat dip rtu","01936/4007",0.36,
"buscopan co injection 100ml","voren suspension for injection, 1 mg/ml","08327/4321",0.487179487179487,
"bandage - soffban plus 10cm","advantage 40 spot-on solution for cats","00010/4164",0.368421052631579,
"alamycin injection 100ml","alamycin la 300 solution for injection 300 mg/ml","02000/4113",0.479166666666667,
"cephaguard dc syringes 120","cephaguard dc 150 mg intramammary ointment","05653/4163",0.404761904761905,
"cevaxel rtu injection 100ml","voren suspension for injection, 1 mg/ml","08327/4321",0.435897435897436,
"cepralock 4gm im syr 120pk","suprelorin 4.7 mg implant for dogs","eu/2/07/072/001-002",0.352941176470588,
"bovikalc bolus dairy cows 4s","nobivac bb for cats","eu/2/02/034/001",0.392857142857143,
"coiled sol giving set (xsn284)","bovilis bovipast rsp","01708/4458",0.333333333333333,
"cepravin dc herd pack 200''s","cepravin dry cow 250 mg intramammary suspension","01708/4577",0.340425531914894,
"cotton wool 500gm","antirobe capsules 300 mg","42058/4004",0.333333333333333,
"colvasone injection 50ml","droncit solution for injection 5.68%","00010/4098",0.472222222222222,
"dexafort 3mg/ml 50ml","deltafort 10 mg/ml pour-on solution","05653/4170",0.428571428571429,
"foston 50ml","vasotop 5 mg tablets","01708/4400",0.35,
"estrumate 20ml","co trimazine tablets 120 mg","41687/4001",0.37037037037037,
"forcyl inj 50ml","porcilis ery","01708/4355",0.4,
"glucose 40% 400ml","glucose 40% w/v solution for injection","10434/4047",0.342105263157895,
"flunixin injection 100ml","estroplan injection, (250 ug/ml)","18731/4000",0.46875,
