"Input Name","Matched Name","VM Number","Similarity Score"
"cobactan mc 30s","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"calciject 20cm no3","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"calciject 40cm no5","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cephaguard dc 20s","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"adrenacaine 100ml","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"cobactan 2.5% 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"allevinix inj 100mls","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"alamycin injection 100ml","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"bandage - vetwrap 5cm","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cepralock 4gm im syr 120pk","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cephaguard dc syringes 120","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"buscopan co injection 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"bovikalc bolus dairy cows 4s","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cepravin dc herd pack 200''s","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"bandage - soffban plus 10cm","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"coiled sol giving set (xsn284)","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cevaxel rtu injection 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"cotton wool 500gm","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"foston 50ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"dexafort 3mg/ml 50ml","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"estrumate 20ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"forcyl inj 50ml","baytril 50 mg/ml solution for injection","00010/4076",1,
"colvasone injection 50ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"glucose 40% 400ml","rumbul rumen bullet 40 g continuous release intraruminal device, cattle","04261/4003",1,
"dispense allevinix inj 100mls","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"flunixin injection 100ml","bob martin clear 3 in 1 wormer 150/144/50 mg tablets for dogs","00010/4074",1,
"duphafral extravite 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"dispense naxcel cattle 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"magniject no9","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"dispense loxicom injection 50ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"kexxtone bolus 5 x 32g","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"dispense propylene glycol 25lt","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"marbonor 50ml","clinidip l concentrate 2.0% w/v concentrate for teat dip or teat spray solution","01808/4010",1,
"dispense loxicom injection 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"loxicom injection 50ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"dispense catheter - intraflon 2 16g 60mm","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"loxicom injection 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"mamyzin 10g + diluent","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"needles 14gx1.5","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"meloxidyl inj 100ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"needles 16gx1.5","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"marbocyl injection 10% 50ml","water for injections 100% v/v solvent  for parenteral use","02000/4122",1,
"oxytocin s 25ml","euthatal solution for injection 200 mg in 1 ml","08327/4112",1,
